timestamp,intersection_id,vehicle_count,avg_speed_kmh,weather,temperature_c,is_weekend,is_peak_hour,accident_occurred,congestion_level
2025-01-01 00:00:00,Mangilik_El_Syganak,179,61,Clear,-16,0,0,0,0.105
2025-01-01 00:15:00,Mangilik_El_Syganak,53,39,Snow,-26,0,0,0,0.421
2025-01-01 00:30:00,Mangilik_El_Kunaev,298,47,Clear,-27,0,0,0,0.296
2025-01-01 00:45:00,Dostyk_Turkistan,78,40,Clear,-19,0,0,0,0.423
2025-01-01 01:00:00,Turan_Syganak,166,55,Rain,-7,0,0,0,0.23
2025-01-01 01:15:00,Mangilik_El_Syganak,253,50,Clear,-25,0,0,0,0.298
2025-01-01 01:30:00,Turan_Syganak,73,43,Clear,-12,0,0,0,0.379
2025-01-01 01:45:00,Turan_Syganak,141,52,Clear,-26,0,0,0,0.28
2025-01-01 02:00:00,Mangilik_El_Kunaev,229,55,Clear,-29,0,0,0,0.255
2025-01-01 02:15:00,Dostyk_Turkistan,234,40,Clear,-12,0,0,0,0.399
2025-01-01 02:30:00,Mangilik_El_Kunaev,226,47,Clear,-6,0,0,0,0.37
2025-01-01 02:45:00,Turan_Syganak,103,54,Clear,-18,0,0,0,0.242
2025-01-01 03:00:00,Turan_Syganak,261,62,Clear,-15,0,0,0,0.087
2025-01-01 03:15:00,Mangilik_El_Kunaev,117,54,Clear,-22,0,0,0,0.229
2025-01-01 03:30:00,Mangilik_El_Kunaev,292,58,Clear,-9,0,0,0,0.151
2025-01-01 03:45:00,Turan_Syganak,127,48,Clear,-7,0,0,0,0.345
2025-01-01 04:00:00,Dostyk_Turkistan,126,53,Clear,-26,0,0,0,0.21
2025-01-01 04:15:00,Mangilik_El_Kunaev,232,40,Fog,-14,0,0,0,0.431
2025-01-01 04:30:00,Mangilik_El_Syganak,86,47,Clear,-24,0,0,0,0.29
2025-01-01 04:45:00,Kabanbay_Kunaev,252,60,Clear,-30,0,0,0,0.107
2025-01-01 05:00:00,Mangilik_El_Syganak,199,59,Clear,-7,0,0,0,0.168
2025-01-01 05:15:00,Turan_Syganak,193,58,Clear,-20,0,0,0,0.212
2025-01-01 05:30:00,Kabanbay_Kunaev,61,57,Clear,-11,0,0,0,0.225
2025-01-01 05:45:00,Turan_Syganak,259,63,Clear,-18,0,0,0,0.1
2025-01-01 06:00:00,Turan_Syganak,840,46,Clear,-18,0,0,0,0.342
2025-01-01 06:15:00,Dostyk_Turkistan,680,64,Clear,-21,0,0,0,0.063
2025-01-01 06:30:00,Mangilik_El_Kunaev,672,51,Clear,-22,0,0,0,0.266
2025-01-01 06:45:00,Kabanbay_Kunaev,1019,54,Clear,-23,0,0,0,0.21
2025-01-01 07:00:00,Dostyk_Turkistan,3633,9,Snow,-21,0,1,0,0.882
2025-01-01 07:15:00,Kabanbay_Kunaev,2740,33,Rain,-12,0,1,0,0.565
2025-01-01 07:30:00,Mangilik_El_Syganak,3343,6,Clear,-9,0,1,0,0.922
2025-01-01 07:45:00,Dostyk_Turkistan,3222,15,Clear,-11,0,1,0,0.793
2025-01-01 08:00:00,Turan_Syganak,3091,10,Rain,-9,0,1,0,0.873
2025-01-01 08:15:00,Dostyk_Turkistan,2389,34,Rain,-15,0,1,0,0.52
2025-01-01 08:30:00,Kabanbay_Kunaev,3892,7,Clear,-12,0,1,0,0.903
2025-01-01 08:45:00,Mangilik_El_Kunaev,2344,27,Fog,-24,0,1,0,0.635
2025-01-01 09:00:00,Mangilik_El_Kunaev,3016,18,Clear,-21,0,1,0,0.765
2025-01-01 09:15:00,Turan_Syganak,2571,23,Snow,-14,0,1,0,0.687
2025-01-01 09:30:00,Mangilik_El_Kunaev,3395,5,Snow,-14,0,1,0,0.962
2025-01-01 09:45:00,Mangilik_El_Syganak,3626,20,Clear,-25,0,1,0,0.738
2025-01-01 10:00:00,Mangilik_El_Syganak,694,28,Fog,-10,0,0,0,0.582
2025-01-01 10:15:00,Mangilik_El_Kunaev,1139,62,Clear,-7,0,0,0,0.146
2025-01-01 10:30:00,Turan_Syganak,738,56,Clear,-30,0,0,0,0.231
2025-01-01 10:45:00,Mangilik_El_Kunaev,753,59,Clear,-20,0,0,0,0.195
2025-01-01 11:00:00,Mangilik_El_Syganak,676,50,Clear,-21,0,0,0,0.32
2025-01-01 11:15:00,Turan_Syganak,817,52,Clear,-22,0,0,0,0.26
2025-01-01 11:30:00,Kabanbay_Kunaev,1097,65,Clear,-13,0,0,0,0.036
2025-01-01 11:45:00,Turan_Syganak,683,49,Clear,-20,0,0,0,0.329
2025-01-01 12:00:00,Kabanbay_Kunaev,1354,41,Clear,-17,0,0,0,0.463
2025-01-01 12:15:00,Mangilik_El_Kunaev,1348,60,Clear,-10,0,0,0,0.192
2025-01-01 12:30:00,Dostyk_Turkistan,559,33,Fog,-13,0,0,0,0.554
2025-01-01 12:45:00,Mangilik_El_Syganak,860,33,Snow,-7,0,0,0,0.5
2025-01-01 13:00:00,Dostyk_Turkistan,887,42,Clear,-27,0,0,0,0.421
2025-01-01 13:15:00,Kabanbay_Kunaev,564,58,Clear,-7,0,0,0,0.123
2025-01-01 13:30:00,Mangilik_El_Kunaev,937,39,Rain,-26,0,0,0,0.439
2025-01-01 13:45:00,Mangilik_El_Syganak,1170,59,Clear,-19,0,0,0,0.2
2025-01-01 14:00:00,Mangilik_El_Kunaev,1234,30,Snow,-26,0,0,0,0.583
2025-01-01 14:15:00,Turan_Syganak,1461,64,Clear,-30,0,0,0,0.129
